Семантические категории 1-ого уровня;Семантические категории 2-ого уровня;Семантические категории 3-его уровня;Оценочное слово или словосочетание;Полярность;;;;;;;
объект оценки (кофемашина);кофе;пенка;качественная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;качественная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;классная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;классная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;красивая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;красивая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;красота пенки зашкаливает;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;кремовая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;кремовая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;крепкая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;крепкая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;крутая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;крутая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;легкая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;лёгкая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;легкая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;лёгкая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;максимальная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;максимальная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;малая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;малая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;маслянистая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;маслянистая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;махонькая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;махонькая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;мелкопористая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;мелкопористая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;многослойная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;многослойная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;наихорошая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;наихорошая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;настоящая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;настоящая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;нежная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;нежная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;неплохая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;неплохая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;неустойчивая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;неустойчивая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;никакая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;никакая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;обалденная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;обалденная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;обильная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;обильная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;объемная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;огромная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;огромная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;однородная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;однородная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;отвратительная пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;отвратительная пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;отвратная пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;отвратная пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;отличная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;отличная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;отличнейшая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;отличнейшая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;отменная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;отменная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;офигенная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;офигенная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена адекватная;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена вкусное плотное облачко;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена до небес;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена зашибись;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена идеальна;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена как в рекламе;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена как с картинки;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена ложка стоит;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена не падает вообще;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена очень даже;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена с мелкими пузырьками;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена сохраняется долго;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена через раз;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена шустро уменьшается;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;пена-шапочка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка адекватная;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка вкусное плотное облачко;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка до небес;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка зашибись;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка идеальна;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка как в рекламе;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка как с картинки;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка ложка стоит;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка не падает вообще;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка очень даже;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка с мелкими пузырьками;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка сохраняется долго;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка через раз;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка шустро уменьшается;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенка-шапочка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пенки получается очень много;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пены мало;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;плотная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;плотная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;плотнейшая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;плотнейшая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;плотненькая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;плотненькая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;плохая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;плохая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;понравилась пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;понравилась пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;правильная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;правильная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;превосходная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;превосходная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;прекрасная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;прекрасная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;приличная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;приличная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;приятная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;приятная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пушистая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пушистая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пышная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;пышная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;ровная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;ровная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;слабая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;слабая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;сладкая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;сладкая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;сносная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;сносная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;стойкая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;стойкая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;стоячая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;стоячая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;такой пены вам не взобьет ни один капуччинатор;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;терпимая пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;терпимая пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;толстая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;толстая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;умеренная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;умеренная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;уникальная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;уникальная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;упругая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;упругая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;устойчивая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;устойчивая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;холодная пена;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;холодная пенка;-;;;;;;;
объект оценки (кофемашина);кофе;пенка;хорошая пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;хорошая пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;хорошо держится пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;хорошо держится пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;чудесная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;чудесная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;чудная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;чудная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;эффектная пена;+;;;;;;;
объект оценки (кофемашина);кофе;пенка;эффектная пенка;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;высокая температура;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;горячий;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;кипяток;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;кофе получается слишком горячий;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;недостаточная температура;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;нравится температура;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;нужная температура;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;обжигающий;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;обжигающий кофе;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;порадовала температура;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;приятно удивила температура;+;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;слабый темпер для кофе;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;теплая бурда;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;теплое;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;теплый;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;тёплый кофе;-;;;;;;;
объект оценки (кофемашина);кофе;температура кофе;теплый напиток;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;"""чудо""";-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;агрегат супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;адекватный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;адская машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;аппарат супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;барахло;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;без лишних наворотов;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;безукоризненное качество;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесконфликтная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезная вещь;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезная кофемашина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезная кофемашинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезная машина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезная машинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезная модель;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезная покупка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезный агрегат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезный аппарат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;бесполезный прибор;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;большая мощность;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;вариант супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;великолепный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;верный соратник и друг кофемана;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;вещь бесполезная;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;вещь супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;все замечательно;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;все на высшем уровне;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;все ОК;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;все устраивает;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;все устроило;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;высокая мощность;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;г..;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанная вещь;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанная кофемашина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанная кофемашинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанная машина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанная машинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанная модель;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанное устройство;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанный агрегат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанный аппарат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;долбанный прибор;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойная кофеварка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойный выбор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;достойный продукт;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательное приобретение;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;замечательный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочная вещь;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочная кофемашина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочная кофемашинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочная машина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочная машинка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочная модель;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочное устройство;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочный агрегат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочный аппарат;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочный вариант;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;заморочный прибор;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;знаменитый бренд;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;игрушка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;идеальный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;избыточная мощность;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;известный бренд;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интересный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;интуитивная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;капризная;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;капризная до ужаса;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;капризная машина;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественный девайс;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественный прибор;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качественный продукт;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;качество на высоте;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;классная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;классная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;конкурентов у неё нет;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;кофемашина класс;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;кофемашина супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;кофемашина эстетична;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;кофемашинка супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;кофемашинка хорошая;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;крутая машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;лучше Айфона;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;лучше не нашел;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;лучший вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;лучший выбор для неискушенных кофеманов;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;любимая;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;маловато мощности;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;маркетинговая разводка;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;маст хэв;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;машина выше всяких похвал;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;машина супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;машинка супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;многофункциональная кофеварка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;модель супер;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;моделька хорошая;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;мощная;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;мощная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;мощности не хватает;-;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;на высшем уровне;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;на другую не променяла бы;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежная;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжная вещь;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжная кофемашина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжная кофемашинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжная машина;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжная машинка;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжная модель;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежно сделана;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжное устройство;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежность;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжный агрегат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжный аппарат;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надёжный вариант;+;;;;;;;
объект оценки (кофемашина);кофемашина;кофемашина;надежный прибор;+;;;;;;;
